,YEAR,COUNTRY,ELEVATION OF VOLCANO,TOTAL DEATHS OF VOLCANO,TOTAL MISSING OF VOLCANO,TOTAL INJURIES OF VOLCANO,TOTAL HOUSES DESTROYED OF VOLCANO,TOTAL HOUSES DAMAGED OF VOLCANO,TOTAL DAMAGES(MILLION $) OF VOLCANO
0,2010,ECUADOR,5023,,,,,,
1,2010,ICELAND,1666,2.0,,,,,
2,2010,GUATEMALA,2552,1.0,3.0,,3.0,,
3,2010,UNITED STATES,538,,,,,,
4,2010,INDONESIA,1784,4.0,,5.0,,,
5,2010,INDONESIA,2460,2.0,,,,,
6,2010,INDONESIA,2947,367.0,,277.0,,,600.0
7,2010,ECUADOR,5023,,,,,,
8,2010,INDONESIA,2329,,,,,,
9,2011,INDONESIA,2947,1.0,,1.0,,,
10,2011,JAPAN,1700,,,,,,
11,2011,PHILIPPINES,1565,1.0,,,,,
12,2011,INDONESIA,1784,,,,,,
13,2011,ECUADOR,5023,,,,,,
14,2011,CHILE,2236,,,,,,
15,2011,ERITREA,2218,31.0,,,,,
16,2011,ICELAND,1512,,,,,,
17,2011,INDONESIA,1580,1.0,,,,,
18,2011,INDONESIA,1715,4.0,,,,,
19,2012,UNITED STATES,1222,,,,,,
20,2012,UNITED STATES,1222,,,,,,
21,2012,RUSSIA,3682,,,,,,
22,2013,INDONESIA,2947,1.0,,1.0,,,
23,2013,INDONESIA,875,,,,,,
24,2013,PHILIPPINES,2462,5.0,,8.0,,,
25,2013,INDONESIA,875,5.0,,,,,
26,2013,PERU,5672,,,,,,
27,2013,JAPAN,1117,,,,,,
28,2013,INDONESIA,2460,,,,,,
29,2013,NEW ZEALAND,1111,1.0,,,,,
30,2014,INDONESIA,2460,17.0,,3.0,,,
31,2014,INDONESIA,1731,7.0,,,4098.0,,
32,2014,JAPAN,3063,55.0,,70.0,,,
33,2014,UNITED STATES,1222,,,,1.0,,14.5
34,2014,CAPE VERDE,2829,,,,230.0,,
35,2014,INDONESIA,1715,1.0,,4.0,,,
36,2015,INDONESIA,2460,,,,,,
37,2015,CHILE,2003,,,,,,
38,2015,INDONESIA,1784,,,,,,
39,2015,PAPUA NEW GUINEA,1807,,,2.0,,,
40,2015,INDONESIA,2460,1.0,,,,,
41,2015,NEW ZEALAND,1111,1.0,,,,,
42,2016,INDONESIA,2460,1.0,,4.0,,,
43,2016,INDONESIA,2460,7.0,,3.0,,,100.0
44,2016,UNITED STATES,2805,1.0,,,,,
45,2016,INDONESIA,3726,,44.0,,,,
46,2016,JAPAN,1592,,,,,,
47,2017,ITALY,3350,,,10.0,,,
48,2017,INDONESIA,2460,,,,,,
49,2017,GUATEMALA,3763,,,,,,
50,2017,INDONESIA,2565,8.0,,11.0,,,
51,2017,ITALY,458,3.0,,,,,
52,2017,VANUATU,1496,,,,,,
53,2017,INDONESIA,2947,8.0,,8.0,,,
54,2017,INDONESIA,2460,,,,,,
55,2018,PAPUA NEW GUINEA,365,,,,,,
56,2018,PHILIPPINES,2462,,,1972.0,,,3.72
57,2018,JAPAN,2176,1.0,,11.0,,,
58,2018,UNITED STATES,1222,1.0,,3.0,,,
59,2018,PAPUA NEW GUINEA,365,,,,,,
60,2018,INDONESIA,2799,,,30.0,,,
61,2018,UNITED STATES,1222,,,,2.0,,
62,2018,VANUATU,1496,4.0,,,,,
