Country_Name,Rank_2015,Score_2015,Rank_2016,Score_2016,Rank_2017,Score_2017,Rank_2018,Score_2018,Rank_2019,Score_2019
Switzerland,1.0,7.587,2.0,7.509,4.0,7.49399995803833,5.0,7.487,6.0,7.48
Iceland,2.0,7.561,3.0,7.501,3.0,7.50400018692017,4.0,7.495,4.0,7.494
Denmark,3.0,7.527,1.0,7.526,2.0,7.52199983596802,3.0,7.555,2.0,7.6
Norway,4.0,7.522,4.0,7.498,1.0,7.53700017929077,2.0,7.594,3.0,7.554
Canada,5.0,7.427,6.0,7.404,7.0,7.31599998474121,7.0,7.328,9.0,7.278
Finland,6.0,7.406,5.0,7.413,5.0,7.4689998626709,1.0,7.632,1.0,7.769
Netherlands,7.0,7.378,7.0,7.339,6.0,7.3769998550415,6.0,7.441,5.0,7.488
Sweden,8.0,7.364,10.0,7.291,9.0,7.28399991989136,9.0,7.314,7.0,7.343
New Zealand,9.0,7.286,8.0,7.334,8.0,7.31400012969971,8.0,7.324,8.0,7.307
Australia,10.0,7.284,9.0,7.313,10.0,7.28399991989136,10.0,7.272,11.0,7.228
Israel,11.0,7.278,11.0,7.267,11.0,7.21299982070923,19.0,6.814,13.0,7.139
Costa Rica,12.0,7.226,14.0,7.087,12.0,7.0789999961853,13.0,7.072,12.0,7.167
Austria,13.0,7.2,12.0,7.119,13.0,7.00600004196167,12.0,7.139,10.0,7.246
Mexico,14.0,7.187,21.0,6.778,25.0,6.57800006866455,24.0,6.488,23.0,6.595
United States,15.0,7.119,13.0,7.104,14.0,6.99300003051758,18.0,6.886,19.0,6.892
Brazil,16.0,6.983,17.0,6.952,22.0,6.63500022888184,28.0,6.419,32.0,6.3
Luxembourg,17.0,6.946,20.0,6.871,18.0,6.86299991607666,17.0,6.91,14.0,7.09
Ireland,18.0,6.94,19.0,6.907,15.0,6.97700023651123,14.0,6.977,16.0,7.021
Belgium,19.0,6.937,18.0,6.929,17.0,6.89099979400635,16.0,6.927,18.0,6.923
United Arab Emirates,20.0,6.901,28.0,6.573,21.0,6.64799976348877,20.0,6.774,21.0,6.825
United Kingdom,21.0,6.867,23.0,6.725,19.0,6.71400022506714,11.0,7.19,15.0,7.054
Oman,22.0,6.853,,,,,,,,
Venezuela,23.0,6.81,44.0,6.084,82.0,5.25,102.0,4.806,108.0,4.707
Singapore,24.0,6.798,22.0,6.739,26.0,6.57200002670288,34.0,6.343,34.0,6.262
Panama,25.0,6.786,25.0,6.701,30.0,6.4520001411438,27.0,6.43,31.0,6.321
Germany,26.0,6.75,16.0,6.994,16.0,6.95100021362305,15.0,6.965,17.0,6.985
Chile,27.0,6.67,24.0,6.705,20.0,6.65199995040894,25.0,6.476,26.0,6.444
Qatar,28.0,6.611,36.0,6.375,35.0,6.375,32.0,6.374,29.0,6.374
France,29.0,6.575,32.0,6.478,31.0,6.44199991226196,23.0,6.489,24.0,6.592
