Country_Name,Developed_Or_Developing,Country_Abbreviation,Country_ID
Algeria,Developing,DZA,12
Egypt,Developing,EGY,818
Libya,Developing,LBY,434
Morocco,Developing,MAR,504
Sudan,Developing,SDN,729
Tunisia,Developing,TUN,788
Western Sahara,Developing,ESH,732
British Indian Ocean Territory,Developing,IOT,86
Burundi,Developing,BDI,108
Comoros,Developing,COM,174
Djibouti,Developing,DJI,262
Eritrea,Developing,ERI,232
Ethiopia,Developing,ETH,231
French Southern Territories,Developing,ATF,260
Kenya,Developing,KEN,404
Madagascar,Developing,MDG,450
Malawi,Developing,MWI,454
Mauritius,Developing,MUS,480
Mayotte,Developing,MYT,175
Mozambique,Developing,MOZ,508
Réunion,Developing,REU,638
Rwanda,Developing,RWA,646
Seychelles,Developing,SYC,690
Somalia,Developing,SOM,706
South Sudan,Developing,SSD,728
Uganda,Developing,UGA,800
United Republic of Tanzania,Developing,TZA,834
Zambia,Developing,ZMB,894
Zimbabwe,Developing,ZWE,716
Angola,Developing,AGO,24
Cameroon,Developing,CMR,120
Central African Republic,Developing,CAF,140
Chad,Developing,TCD,148
Congo,Developing,COG,178
Democratic Republic of the Congo,Developing,COD,180
Equatorial Guinea,Developing,GNQ,226
Gabon,Developing,GAB,266
Sao Tome and Principe,Developing,STP,678
Botswana,Developing,BWA,72
Eswatini,Developing,SWZ,748
Lesotho,Developing,LSO,426
Namibia,Developing,NAM,516
South Africa,Developing,ZAF,710
Benin,Developing,BEN,204
Burkina Faso,Developing,BFA,854
Cabo Verde,Developing,CPV,132
Côte d’Ivoire,Developing,CIV,384
Gambia,Developing,GMB,270
Ghana,Developing,GHA,288
Guinea,Developing,GIN,324
Guinea-Bissau,Developing,GNB,624
Liberia,Developing,LBR,430
Mali,Developing,MLI,466
Mauritania,Developing,MRT,478
Niger,Developing,NER,562
Nigeria,Developing,NGA,566
Saint Helena,Developing,SHN,654
Senegal,Developing,SEN,686
Sierra Leone,Developing,SLE,694
Togo,Developing,TGO,768
Anguilla,Developing,AIA,660
Antigua and Barbuda,Developing,ATG,28
Aruba,Developing,ABW,533
Bahamas,Developing,BHS,44
Barbados,Developing,BRB,52
British Virgin Islands,Developing,VGB,92
Cayman Islands,Developing,CYM,136
Cuba,Developing,CUB,192
Curaçao,Developing,CUW,531
Dominica,Developing,DMA,212
Dominican Republic,Developing,DOM,214
Grenada,Developing,GRD,308
Guadeloupe,Developing,GLP,312
Haiti,Developing,HTI,332
Jamaica,Developing,JAM,388
Martinique,Developing,MTQ,474
Montserrat,Developing,MSR,500
Puerto Rico,Developing,PRI,630
Saint Barthélemy,Developing,BLM,652
Saint Kitts and Nevis,Developing,KNA,659
Saint Lucia,Developing,LCA,662
Saint Martin (French Part),Developing,MAF,663
Saint Vincent and the Grenadines,Developing,VCT,670
Sint Maarten (Dutch part),Developing,SXM,534
Trinidad and Tobago,Developing,TTO,780
Turks and Caicos Islands,Developing,TCA,796
United States Virgin Islands,Developing,VIR,850
Belize,Developing,BLZ,84
