,Year,Latitude,Longitude,Magnitude
0,2015,6.5739,60.3653,5.5
1,2015,-43.0546,171.2364,5.6
2,2015,55.2049,163.2446,5.6
3,2015,5.9045,-82.6576,6.5
4,2015,-61.6118,161.3346,5.7
5,2015,-5.655,68.3613,5.6
6,2015,-21.6328,-68.5339,5.5
7,2015,14.7709,120.2456,5.9
8,2015,15.4767,-93.3808,5.5
9,2015,-5.587,133.9223,5.6
10,2015,-22.237,-63.1461,5.6
11,2015,-5.7726,131.8634,5.5
12,2015,51.9238,179.578,5.5
13,2015,-35.4555,-105.7571,5.7
14,2015,4.6079,119.7571,5.5
15,2015,14.9801,-91.4588,5.5
16,2015,-5.6549,146.3279,5.7
17,2015,-17.0309,168.52,6.8
18,2015,-54.6751,-136.7703,5.6
19,2015,1.3368,97.2402,5.7
20,2015,-20.9665,-178.3032,6.2
21,2015,40.3178333,-124.6066667,5.73
22,2015,-19.2852,-174.171,5.6
23,2015,-21.2452,170.158,6.0
24,2015,15.241,147.1244,5.5
25,2015,-12.3801,166.7543,5.5
26,2015,-21.2735,170.2648,5.7
27,2015,-49.3181,-8.1198,5.6
28,2015,-1.539,145.2141,5.9
29,2015,-32.7183,-67.1231,6.3
30,2015,52.2224,-168.6035,5.5
31,2015,-25.7381,-175.8779,5.5
32,2015,5.222,-82.6217,5.7
33,2015,-2.4318,119.3699,5.6
34,2015,-23.5605,-66.7204,5.5
35,2015,-23.1125,-66.688,6.7
36,2015,-65.5984,-179.601,5.8
37,2015,19.3552,-105.7405,5.5
38,2015,52.6487,-31.9016,7.1
39,2015,22.6374,121.427,6.2
40,2015,-55.52,-28.2591,6.2
41,2015,39.8558,142.8808,6.7
42,2015,40.1095,141.8914,5.5
43,2015,39.5696,143.5829,5.5
44,2015,8.3227,-103.159,5.5
45,2015,8.285,-103.0536,5.5
46,2015,-10.7598,164.1216,6.1
47,2015,-53.4419,159.3522,5.5
48,2015,-16.4311,168.1483,6.4
49,2015,39.8244,143.5871,6.2
50,2015,39.8185,143.4861,6.0
51,2015,2.7299,-76.5012,5.5
52,2015,18.6766,-106.848,6.2
53,2015,39.6546,143.1982,5.8
54,2015,6.0816,119.8398,5.7
55,2015,31.0659,141.8201,5.9
56,2015,-7.2968,122.5348,7.0
57,2015,16.9041,145.8303,5.7
58,2015,0.0241,124.4702,5.6
59,2015,13.4392,-90.9992,5.5
60,2015,-59.561,-150.6522,5.5
61,2015,-0.7789,98.7161,6.1
62,2015,-41.3157,80.6046,6.0
63,2015,50.5075,-173.29,5.6
64,2015,-6.5331,151.7342,5.6
65,2015,6.5308,-82.6541,5.8
66,2015,6.7757,-72.9875,6.2
67,2015,-22.2789,-176.3784,5.5
68,2015,18.7532,146.4233,5.8
69,2015,-0.5409,122.3067,6.1
70,2015,-4.0737,152.0288,5.9
71,2015,-17.8236,-178.5653,5.5
72,2015,1.6686,126.5217,6.2
73,2015,-36.1167,-73.5219,6.2
74,2015,-4.7852,154.8778,5.6
75,2015,13.2251,145.7186,5.5
76,2015,-18.3534,-69.1663,6.4
77,2015,23.7235,121.75,5.5
78,2015,-1.2012,-77.5836,5.5
79,2015,-22.2167,-68.6175,5.6
80,2015,-18.2822,176.7927,5.5
81,2015,0.4002,121.9895,5.9
82,2015,1.6535,126.4846,5.6
83,2015,-4.7294,152.5623,7.5
84,2015,-5.2049,152.6038,5.7
