Year,Country_Name,Elevation,Total_Deaths,Total_Missing_Persons,Total_Injuries
2015,Indonesia,2460,,,
2015,Chile,2003,,,
2015,Indonesia,1784,,,
2015,Papua New Guinea,1807,,,2.0
2015,Indonesia,2460,1.0,,
2015,New Zealand,1111,1.0,,
2016,Indonesia,2460,1.0,,4.0
2016,Indonesia,2460,7.0,,3.0
2016,United States of America,2805,1.0,,
2016,Indonesia,3726,,44.0,
2016,Japan,1592,,,
2017,Italy,3350,,,10.0
2017,Indonesia,2460,,,
2017,Guatemala,3763,,,
2017,Indonesia,2565,8.0,,11.0
2017,Italy,458,3.0,,
2017,Vanuatu,1496,,,
2017,Indonesia,2947,8.0,,8.0
2017,Indonesia,2460,,,
2018,Papua New Guinea,365,,,
2018,Philippines,2462,,,1972.0
2018,Japan,2176,1.0,,11.0
2018,United States of America,1222,1.0,,3.0
2018,Papua New Guinea,365,,,
2018,Indonesia,2799,,,30.0
2018,United States of America,1222,,,
2018,Vanuatu,1496,4.0,,
