YEAR,TSUNAMI,FOCAL DEPTH OF EARTHQUAKE,EQ_PRIMARY,INTENSITY,COUNTRY,TOTAL DEATHS OF EARTHQUAKE,TOTAL MISSING OF EARTHQUAKE,TOTAL INJURIES OF EARTHQUAKE,TOTAL HOUSES DESTROYED OF EARTHQUAKE,TOTAL HOUSES DAMAGED OF EARTHQUAKE,TOTAL DAMAGES(MILLION $) OF EARTHQUAKE
2010,No,47.0,5.1,,TAJIKISTAN,,,,98.0,1000.0,1.5
2010,Yes,26.0,6.6,,SOLOMON ISLANDS,,,,,,
2010,Yes,25.0,7.1,,SOLOMON ISLANDS,,,,16.0,60.0,
2010,Yes,15.0,6.8,,SOLOMON ISLANDS,,,,,,
2010,No,65.0,5.1,,INDONESIA,1.0,,2.0,,,
2010,No,29.0,6.5,,USA,,,30.0,,,21.8
2010,Yes,13.0,7.0,,HAITI,316000.0,,300000.0,97294.0,188383.0,8000.0
2010,No,8.0,5.5,,VENEZUELA,,,11.0,,3.0,
2010,No,5.0,5.0,,IRAN,,,,,150.0,
2010,No,27.0,4.4,,CHINA,7.0,1.0,9.0,,,
2010,No,10.0,4.7,,CHINA,1.0,,15.0,200.0,,
2010,No,36.0,4.8,,CHINA,,,11.0,,,
2010,Yes,25.0,7.0,,JAPAN,,,2.0,,,
2010,Yes,23.0,8.8,9.0,CHILE,558.0,,12000.0,,500000.0,30000.0
2010,No,10.0,6.3,,ARGENTINA,2.0,,2.0,,,
2010,No,21.0,6.3,,TAIWAN,,,96.0,,340.0,1000.0
2010,No,12.0,6.1,,TURKEY,51.0,,100.0,287.0,700.0,
2010,Yes,11.0,6.9,,CHILE,,,,,,
2010,No,34.0,6.7,,INDIA,,,10.0,,,
2010,No,4.0,7.2,,MEXICO,2.0,,233.0,,,1150.0
2010,Yes,31.0,7.8,,INDONESIA,,,,,,
2010,No,17.0,6.9,,CHINA,2220.0,70.0,12135.0,15000.0,,500.0
2010,No,13.0,5.6,,AFGHANISTAN,11.0,,70.0,2000.0,,
2010,No,0.0,5.2,,AUSTRALIA,,,3.0,,,
2010,No,36.0,4.5,,INDIA,,,,,,
2010,No,37.0,6.2,,PERU,,,11.0,,,
2010,No,38.0,7.2,,INDONESIA,,,,,,
2010,No,2.0,5.2,,ALGERIA,2.0,,43.0,,,
2010,No,113.0,5.8,,USA TERRITORY,,,,,,
2010,Yes,10.0,4.4,,USA TERRITORY,,,,,,
2010,Yes,35.0,7.5,6.0,INDIA,,,,,,
2010,No,5.0,5.8,,USA,,,,,,
2010,No,18.0,7.0,6.0,INDONESIA,17.0,,,2556.0,,
2010,No,20.0,5.9,,INDIA,,,,,,
2010,No,16.0,5.2,,INDIA,,,,,,
2010,No,22.0,5.2,6.0,CANADA,,,,,,
2010,No,20.0,6.2,,MEXICO,1.0,,,,,
2010,No,10.0,5.8,,IRAN,1.0,,32.0,,,
2010,No,586.0,7.6,4.0,PHILIPPINES,,,,,,
2010,No,24.0,5.4,,IRAN,,,274.0,,,
2010,Yes,25.0,7.2,7.0,VANUATU,,,,,,
2010,No,207.0,7.1,,ECUADOR,,,,,,
2010,Yes,10.0,6.9,,USA TERRITORY,,,,,,
2010,No,7.0,5.7,,IRAN,3.0,,200.0,700.0,,
2010,No,35.0,4.9,,CHINA,,,14.0,,1001.0,
2010,No,12.0,7.0,9.0,NEW ZEALAND,,,2.0,,,6500.0
2010,No,9.0,5.0,5.0,NEW ZEALAND,,,,,,
2010,No,21.0,5.1,6.0,NEW ZEALAND,,,,,,
2010,No,6.0,5.0,7.0,NEW ZEALAND,,,,,,
2010,No,10.0,4.8,5.0,BANGLADESH,,,,,,
2010,No,27.0,5.8,,IRAN,1.0,,3.0,,,
2010,No,33.0,5.2,,PAKISTAN,1.0,,15.0,,100.0,
2010,Yes,20.0,7.8,,INDONESIA,431.0,,,700.0,,39.0
2010,No,1.0,5.5,6.0,SERBIA,2.0,,100.0,1000.0,5000.0,
2010,No,5.0,4.9,,IRAN,,,104.0,,,
2010,No,27.0,4.7,,PAKISTAN,,,12.0,,,
2010,No,10.0,5.1,,ETHIOPIA,,,,,,
2010,No,5.0,3.7,,USA,,,,,,
2010,No,12.0,6.5,,IRAN,7.0,,25.0,,1800.0,
2010,Yes,14.0,7.4,,JAPAN,,,,,,
2010,Yes,16.0,7.3,,VANUATU,,,4.0,,,
2010,No,5.0,4.5,,NEW ZEALAND,,,,,20.0,
2011,No,24.0,4.5,,IRAN,,,16.0,,,
2011,Yes,24.0,6.5,,VANUATU,,,,,,
2011,No,68.0,7.2,,PAKISTAN,3.0,,,,200.0,
2011,No,31.0,4.8,,CHINA,,,1.0,,700.0,
2011,No,85.0,6.3,,MYANMAR (BURMA),1.0,,,,,
2011,Yes,28.0,6.8,,CHILE,,,,,,
2011,No,1.0,3.1,,USA,,,,,,
2011,Yes,6.0,6.1,,NEW ZEALAND,181.0,,1500.0,100000.0,,15000.0
2011,No,50.0,5.5,,PHILIPPINES,,,,,,
2011,Yes,32.0,7.5,,JAPAN,,,,,,
2011,No,26.0,5.5,,CHINA,25.0,,250.0,1039.0,12528.0,
2011,Yes,30.0,9.1,,JAPAN,18431.0,,6157.0,123661.0,280920.0,220085.456
2011,No,43.0,7.9,,JAPAN,,,,,,
2011,No,19.0,7.6,,JAPAN,,,,,,
2011,No,8.0,6.8,,MYANMAR (BURMA),75.0,,123.0,,10104.0,3.6
2011,No,26.0,5.4,,NEPAL,,,,,,
2011,Yes,42.0,7.1,,JAPAN,3.0,,132.0,,,
2011,No,43.0,5.1,,CHINA,,,,,,
2011,No,11.0,6.6,,JAPAN,7.0,,,3.0,,
2011,No,8.0,6.1,,INDONESIA,,,14.0,,,
2011,Yes,11.0,6.8,2.0,NEW CALEDONIA,,,,,,
2011,No,1.0,5.1,,SPAIN,10.0,,,,,
2011,No,7.0,4.3,,TURKEY,2.0,,125.0,,,
2011,No,21.0,5.3,,CHINA,,,8.0,,50.0,
2011,No,6.0,6.0,,NEW ZEALAND,1.0,,45.0,100.0,,3000.0
2011,No,39.0,5.3,,CHINA,,,4.0,,,
2011,Yes,52.0,7.3,,USA,,,,,,
2011,No,29.0,5.3,,CHINA,,,,10.0,,
2011,Yes,17.0,7.6,,KERMADEC ISLANDS (NEW ZEALAND),,,,,,
2011,Yes,23.0,7.0,,JAPAN,,,,,,
2011,No,20.0,6.1,,UZBEKISTAN,14.0,,86.0,,,
2011,No,40.0,5.0,,CHINA,,,3.0,,22823.0,
2011,No,10.0,5.7,,CHINA,,,21.0,,,
2011,Yes,32.0,7.1,,VANUATU,,,,,,
2011,Yes,28.0,7.0,,VANUATU,,,,,,
2011,No,4.0,5.4,7.0,USA,,,,,,
2011,No,6.0,5.8,7.0,USA,,,,,,
2011,Yes,32.0,6.8,,USA,,,,,,
2011,No,91.0,6.7,,INDONESIA,10.0,,,,,
2011,No,10.0,4.3,,INDIA,,,1.0,,,
